target;BJD;RV_mlc_nzp;e_RV_mlc_nzp;RV_drs_nzp;e_RV_drs_nzp;RV_mlc;e_RV_mlc;RV_drs;e_RV_drs;RV_mlc_j;e_RV_mlc_j;CRX;e_CRX;dLW;e_dLW;Halpha;e_Halpha;NaD1;e_NaD1;NaD2;e_NaD2;f_RV;FWHM_DRS;CONTRAST_DRS;BIS;RVGUESS;SNR_DRS;BJD_DRS;BERV;BERV_DRS;DRIFT;e_DRIFT;SA;NZP_mlc;dNZP_mlc;NZP_drs;dNZP_drs;TMMEAN;EXPTIME;MLCRX;E_MLCRX;TIMEID;DRIFT_LAMP;MASK;PROGID;PROGPI;AIRMASS;OBHAB;THAR_FP;DPR_TYPE
HD111232;2453047.82793;-90.720;0.993;104568.073;1.086;63.5539702059;0.473880543899;104570.047291;0.417331435406;63.5539702059;0.473880543899;-9.749114794894076;4.699616793210549;-20.0964454062;1.5488203562;0.43832808015977853;0.00044321442935099024;0.3052113243141264;0.0006057622029000716;0.42168352363495515;0.0007902344102884562;0;6.45819148484;44.5557374068;-0.0350860988056;104.32;164.1;2453047.82719;17.170767551;17.1659434707;0.261;-9999999;0.000;1.878;0.873;1.974;-9999999;0.51;899.997;-9.7337329162;4.5081551755;2004-02-12T07:43:20.021;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453400.84268;-23.144;1.121;104637.246;1.204;129.648067256;0.786753586427;104637.048501;0.666219173968;129.648067256;0.786753586427;18.80246594612673;7.058766888608949;-15.147714692;1.83016634789;0.44107534422203054;0.0007057793755974654;0.31090106590768946;0.0009781268446654;0.42407942264604215;0.0012853174730698893;0;6.45694718829;44.4891994078;-0.036039345161;104.3;102.2;2453400.84193;16.9196197079;16.9148408511;-0.091;-9999999;0.009;0.396;0.799;-0.206;-9999999;0.51;899.9817;18.8101899293;7.12689791552;2005-01-30T08:05:35.241;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453401.80811;-23.231;1.228;104635.249;1.223;129.077266458;0.862601967918;104635.066132;0.699550672254;129.077266458;0.862601967918;3.273159493932539;8.012596219010131;-11.0627028447;1.89023172023;0.4433069453519394;0.0007701113197224562;0.31215438306670307;0.0010634315832736192;0.42553448171174174;0.0013969104398052787;0;6.46307221251;44.4628694918;-0.0356140123006;104.3;94.3;2453401.80736;16.999284233;16.994498277;-0.071;-9999999;0.009;-0.088;0.873;-0.192;-9999999;0.51;900.0004;3.27826799198;8.07786674171;2005-01-31T07:15:43.879;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453401.81806;-20.825;1.370;104636.880;1.311;131.479724556;1.05598124591;104636.677591;0.84531841321;131.479724556;1.05598124591;-3.5904066492192825;10.454077179992;-11.7208125273;2.3864399764;0.4419491122810303;0.0009291858970677691;0.3099394698248547;0.0012867835742892833;0.4230797109505344;0.001689419134467477;0;6.46675669472;44.4405963852;-0.0381216846828;104.3;78.3;2453401.81731;16.9909853478;16.9861982744;-0.033;-9999999;0.009;-0.091;0.873;-0.211;-9999999;0.43;900.0019;-3.59525523316;10.5044766354;2005-01-31T07:31:15.200;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453402.72459;-23.239;0.950;104634.973;1.063;130.05783306;0.557146990368;104635.589705;0.460935738435;130.05783306;0.557146990368;4.593088951522952;4.497195800797273;-10.4757289376;1.30232079209;0.43881586500812453;0.0004934867233685084;0.3042729368767295;0.0006777454814468384;0.4223015566511917;0.0008886090710336441;0;6.46116974155;44.4512503194;-0.0372275428359;104.3;146.0;2453402.72384;17.1039665182;17.0991736916;-0.026;-9999999;0.009;0.901;0.770;0.608;-9999999;0.5;750.0017;4.61941648297;4.59047633405;2005-02-01T05:16:47.574;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453404.82257;-23.957;0.961;104634.687;1.055;128.402398768;0.402234896601;104634.39826;0.329908177324;128.402398768;0.402234896601;6.079684929213045;3.8184919329797435;-14.3741321006;1.16976476265;0.4392735371220536;0.0003496270073511513;0.30520251127070075;0.0004783105182014701;0.42275004347155654;0.0006266599889617337;0;6.45623235983;44.4682553903;-0.0353033638409;104.3;206.5;2453404.82182;17.1077172438;17.1029468755;0.207;-9999999;0.009;-0.037;0.873;-0.298;-9999999;0.48;800.0021;6.10414875035;3.92624839802;2005-02-03T07:37:33.446;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453406.82561;-24.368;0.903;104633.462;0.870;127.395680598;0.380220056421;104633.514762;0.309122058175;127.395680598;0.380220056421;8.660218072500953;3.3324512385347957;-13.3839481704;1.21180653136;0.4374018872284404;0.0003220799565352114;0.30465432679475585;0.0004454230571430758;0.4216943717759461;0.000581217155362461;0;6.45995749629;44.4482430785;-0.0369130037766;104.3;222.6;2453406.82486;17.1592275152;17.1544748326;0.202;-9999999;0.009;-0.632;0.819;0.044;-9999999;0.5;836.1957;8.68288436065;3.44832072887;2005-02-05T07:41:12.290;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453407.7798;-25.233;0.981;104632.974;1.074;127.137749051;0.446755749712;104632.768497;0.384611299844;127.137749051;0.446755749712;5.660596188211812;4.775562539898048;-18.7859070114;1.53029722542;0.4340138954108235;0.00039855664837850307;0.3027790343383886;0.0005596815148347718;0.4174033586576447;0.0007257853834160338;0;6.46313756314;44.5302790617;-0.0399155447305;104.3;178.5;2453407.77905;17.2181570844;17.2134082506;0.082;-9999999;0.009;-0.025;0.873;-0.215;-9999999;0.5;699.9952;5.68623172304;4.83556507513;2005-02-06T06:36:17.349;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453408.85545;-25.735;0.974;104633.712;0.927;126.615455226;0.430708240308;104632.734731;0.368707739987;126.615455226;0.430708240308;4.41950908777775;3.9758736479757197;-19.551118118;1.4838531251;0.4367628854463751;0.00037771914227400615;0.30435382223145285;0.0005274266359048861;0.41951669717573425;0.000685090292908939;0;6.46086317173;44.5161574615;-0.0362964470004;104.3;189.1;2453408.8547;17.1638085597;17.1590653996;0.091;-9999999;0.009;-0.047;0.873;-0.986;-9999999;0.52;724.7001;4.44002978979;4.06320004679;2005-02-07T08:24:41.250;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453409.85957;-27.720;0.878;104631.148;0.933;125.842154796;0.458164811924;104631.7376;0.379450312253;125.842154796;0.458164811924;5.114769467605595;4.701861343395539;-13.0349438881;1.23243161474;0.4370949600381071;0.00039437536966888;0.30456081071606883;0.000547993705839838;0.42182374430327346;0.0007157366809222757;0;6.46139120696;44.4604737769;-0.0377489055426;104.3;180.8;2453409.85882;17.1672930817;17.1625642266;-0.033;-9999999;0.009;1.166;0.749;0.581;-9999999;0.51;836.1999;5.14030921351;4.77464124687;2005-02-08T08:29:43.259;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453410.87791;-25.933;1.013;104633.184;1.088;126.490503196;0.513794752446;104632.89188;0.423610806719;126.490503196;0.513794752446;4.2601440169868;4.322904307829504;-13.9097573102;1.36620316408;0.4374763198442487;0.00043784446196621106;0.30484888746319677;0.0006108060436422752;0.421685140579913;0.0007971078405391251;0;6.4577019952;44.4735514923;-0.0343360546732;104.3;162.7;2453410.87716;17.1518077529;17.1470847336;-0.092;-9999999;0.009;0.028;0.873;-0.301;-9999999;0.52;700.0007;4.28155983232;4.39601985646;2005-02-09T08:57:04.624;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453411.88104;-27.976;1.014;104630.785;1.089;124.344329186;0.516058815284;104630.410146;0.425028532997;124.344329186;0.516058815284;3.1521309188154873;5.014288231869354;-12.1070535252;1.21515172861;0.43867267718213526;0.00044559707353707893;0.30509855166749206;0.0006167237533698214;0.4223677748284033;0.0008047442030685494;0;6.46295861858;44.4467224929;-0.0358011127689;104.3;161.5;2453411.88029;17.1445803784;17.1398700622;0.357;-9999999;0.009;-0.076;0.873;-0.384;-9999999;0.53;831.8013;3.16972063993;5.0869282429;2005-02-10T09:00:13.871;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2453412.85261;-29.752;0.881;104628.833;0.908;122.511571169;0.592756816791;104627.900517;0.489179642172;122.511571169;0.592756816791;7.92342506971776;6.054540757486099;-12.9080698393;1.58833681766;0.43688489590003715;0.0005150486244816628;0.30502586117842756;0.00071421222989759;0.42150698146969223;0.0009308790327544946;0;6.46082621812;44.4577105428;-0.037635364906;104.3;139.5;2453412.85186;17.1610549644;17.1563392002;-0.064;-9999999;0.009;-0.132;0.651;-0.941;-9999999;0.47;820.0006;7.94219908855;6.10223671899;2005-02-11T08:20:07.686;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2454253.58015;-41.567;1.102;104616.243;1.141;111.398716698;0.671988850773;104617.349351;0.544393680489;111.398716698;0.671988850773;9.099397688332274;5.182296756486163;-3.6110627136;1.29954672358;0.4411902975829163;0.0005969695181171207;0.3092288708522086;0.0008078052222750809;0.42133704653968146;0.0010666922623265458;0;6.47331758598;44.3853984149;-0.0384653799308;104.3;123.4;2454253.57951;-5.67041817178;-5.67495554075;-0.649;-9999999;0.029;0.570;0.873;1.077;-9999999;0.51;599.9967;9.11932271272;5.22051374924;2007-06-02T01:44:44.802;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
HD111232;2454254.5663;-43.514;1.061;104614.462;1.115;109.45585828;0.603314840831;104615.594631;0.489397149489;109.45585828;0.603314840831;-2.4800130020831546;5.846403212283827;-3.9200760183;1.14355345357;0.44533039139018465;0.0005286131206367562;0.3015230212040951;0.0007157184919341435;0.43240877029046093;0.0009469198197668682;0;6.47195330528;44.3812429929;-0.0406391860513;104.3;138.9;2454254.56566;-5.92036035362;-5.92489305596;-0.751;-9999999;0.029;0.574;0.873;1.104;-9999999;0.52;699.9981;-2.43679140174;5.87073922629;2007-06-03T01:23:51.752;-9999999;G2;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,G5
