t_p,M_p,t_xy,M_xy,t_z,M_z
0.262606352,0.246516295,0.562795751,0.238916563,0.300070654,0.498732389
0.337475583,1.004114542,0.82534273,0.738598918,0.35623742,1.003639559
0.39364235,1.509021713,1.087889709,1.238281273,0.393582977,1.762187773
0.41204795,3.02754309,1.369198525,1.737488645,0.430750414,3.280234167
0.449215387,4.545589484,1.650566714,1.983529957,0.467858479,5.051446621
0.486382825,6.063635878,1.969458578,2.228621302,0.486264079,6.569967998
0.504847798,7.328991195,2.213303093,2.47561258,0.523372143,8.341180452
0.523253398,8.847512572,2.457147607,2.722603858,0.541658998,10.36603395
0.541658998,10.36603395,2.719753959,2.969120153,0.597707018,11.37727324
0.597707018,11.37727324,2.963598473,3.216111431,0.747682972,11.87980549
0.672635623,11.88170543,3.207442987,3.463102709,0.897777672,11.87600563
0.766326064,12.38566263,3.470049339,3.709619004,1.066634209,11.87173078
0.897540181,12.88866987,3.713893853,3.956610282,1.310478724,12.11872206
1.02881367,13.13851105,4.013964507,4.455342671,1.516858936,12.11349724
1.235134509,13.38645229,4.295332696,4.701383982,1.798227125,12.35953855
1.422634138,13.88803458,4.539117837,5.201541321,2.098416525,12.35193882
1.61019314,14.13645081,4.839247864,5.447107649,2.304737364,12.59988007
1.797752142,14.38486703,5.008045028,5.69599886,2.548641251,12.59370528
1.985311144,14.63328326,5.19560403,5.944415088,2.755021463,12.58848047
2.172870146,14.88169949,5.40192487,6.192356332,2.998865978,12.83547175
2.379190985,15.12964073,5.645710011,6.692513671,3.205186817,13.08341299
2.547988149,15.37853195,5.870733315,7.193145992,3.374043354,13.07913814
2.716785314,15.62742316,6.058232944,7.69472828,3.580423566,13.07391333
2.848058803,15.87726433,6.26449441,8.195835585,3.768041941,13.0691635
3.016855967,16.12615555,6.545743853,8.948209016,3.899374803,13.06583861
3.373212133,16.62346298,6.789410249,9.954698475,4.124516853,13.06013881
3.692044625,17.12172039,6.99555297,10.9621379,4.330837692,13.30808006
4.048400791,17.61902783,7.20169569,11.96957732,4.537217904,13.30285524
4.348471445,18.11776022,7.407541546,14.24284705,4.762359954,13.29715544
4.611018423,18.61744257,7.613446775,16.26295071,5.062489981,13.54272177
4.929850915,19.11569998,7.706780979,18.28590428,5.34385817,13.78876308
5.304909545,19.86569849,7.781293973,20.5,5.550238382,13.78353827
5.717432478,20.8679131,7.874390686,23.59811669,5.775321059,14.03100453
6.092431736,21.87107768,7.911320631,26.12882733,6.056689248,14.27704584
6.298633829,22.62535104,7.929429367,28.913179,6.375640485,14.26897113
6.579764527,23.88405659,7.96629994,31.6970557,6.619484999,14.51596241
6.917061991,25.64766932,7.975,35.74771266,6.882091351,14.7624787
7.25424071,27.91761416,7.98,39.29156252,7.088352818,15.263586
7.516193959,30.94895711,7.982746234,41.57005706,7.407185309,15.76184341
7.721624205,34.99438926,7.982152505,44.10171766,7.594744311,16.01025964
7.833185891,39.29536238,8.000261241,46.88606934,7.744720265,16.51279189
7.907105155,44.10361759,7.999548766,49.92406206,7.819648869,17.01722408
7.962262583,48.91234778,7.998955037,52.45572266,7.894577473,17.52165627
7.979421352,55.74735642,7.998361308,54.98738326,7.950684866,18.2797295
7.978827623,58.27901702,7.978886996,58.02585096,7.98797105,19.29144377
7.978293267,60.55751156,7.997055104,60.55703658,8.006436023,20.55679909
7.996402002,63.34186324,7.996580121,62.58236506,8.025019741,21.31582229
7.995689527,66.37985596,,,,
7.994977052,69.41784868,,,,
7.994027086,73.46850564,,,,
7.993077119,77.5191626,,,,
7.992127153,81.56981957,,,,
7.991355305,84.86097835,,,,
