Altitude,Temperature
0,288.15
50,287.825
100,287.5
150,287.175
200,286.85
250,286.525
300,286.2
350,285.875
400,285.55
450,285.225
500,284.9
550,284.575
600,284.25
650,283.925
700,283.601
750,283.276
800,282.951
850,282.626
900,282.301
950,281.976
1000,281.651
1050,
1100,
1150,
1200,
1250,
1300,
1350,
1400,
1450,
1500,278.402
1550,
1600,
1650,
1700,
1750,
1800,
1850,
1900,
1950,
2000,275.154
2050,
2100,
2150,
2200,
2250,
2300,
2350,
2400,
2450,
2500,271.906
2550,
2600,
2650,
2700,
2750,
2800,
2850,
2900,
2950,
3000,268.659
3050,
3100,
3150,
3200,
3250,
3300,
3350,
3400,
3450,
3500,265.413
3550,
3600,
3650,
3700,
3750,
3800,
3850,
3900,
3950,
4000,262.166
4050,
4100,
4150,
4200,
4250,
4300,
4350,
4400,
4450,
4500,258.921
4550,
4600,
4650,
4700,
4750,
4800,
4850,
4900,
4950,
5000,255.676
5050,
5100,
5150,
5200,
5250,
5300,
5350,
5400,
5450,
5500,252.431
5550,
5600,
5650,
5700,
5750,
5800,
5850,
5900,
5950,
6000,249.187
6050,
6100,
6150,
6200,
6250,
6300,
6350,
6400,
6450,
6500,245.943
6550,
6600,
6650,
6700,
6750,
6800,
6850,
6900,
6950,
7000,242.7
7050,
7100,
7150,
7200,
7250,
7300,
7350,
7400,
7450,
7500,239.457
7550,
7600,
7650,
7700,
7750,
7800,
7850,
7900,
7950,
8000,236.215
8050,
8100,
8150,
8200,
8250,
8300,
8350,
8400,
8450,
8500,232.974
8550,
8600,
8650,
8700,
8750,
8800,
8850,
8900,
8950,
9000,229.733
9050,
9100,
9150,
9200,
9250,
9300,
9350,
9400,
9450,
9500,226.492
9550,
9600,
9650,
9700,
9750,
9800,
9850,
9900,
9950,
10000,223.252
10050,
10100,
10150,
10200,
10250,
10300,
10350,
10400,
10450,
10500,220.013
10550,
10600,
10650,
10700,
10750,
10800,
10850,
10900,
10950,
11000,216.774
11100,216.65
11100,216.65
11200,216.65
11300,216.65
11400,216.65
11500,216.65
11600,216.65
11700,216.65
11800,216.65
11900,216.65
12000,216.65
12100,216.65
12200,216.65
12300,216.65
12400,216.65
12500,216.65
12600,216.65
12700,216.65
12800,216.65
12900,216.65
13000,216.65
13100,216.65
13200,216.65
13300,216.65
13400,216.65
13500,216.65
13600,216.65
13700,216.65
13800,216.65
13900,216.65
14000,216.65
14100,216.65
14200,216.65
14300,216.65
14400,216.65
14500,216.65
14600,216.65
14700,216.65
14800,216.65
14900,216.65
15000,216.65
15100,216.65
15200,216.65
15300,216.65
15400,216.65
15500,216.65
15600,216.65
15700,216.65
15800,216.65
15900,216.65
16000,216.65
16100,216.65
16200,216.65
16300,216.65
16400,216.65
16500,216.65
16600,216.65
16700,216.65
16800,216.65
16900,216.65
17000,216.65
17100,216.65
17200,216.65
17300,216.65
17400,216.65
17500,216.65
17600,216.65
17700,216.65
17800,216.65
17900,216.65
18000,216.65
18100,216.65
18200,216.65
18300,216.65
18400,216.65
18500,216.65
18600,216.65
18700,216.65
18800,216.65
18900,216.65
19000,216.65
19100,216.65
19200,216.65
19300,216.65
19400,216.65
19500,216.65
19600,216.65
19700,216.65
19800,216.65
19900,216.65
20000,216.65
20100,216.687
20200,
20300,
20400,
20500,
20600,
20700,
20800,
20900,
21000,217.581
21100,
21200,
21300,
21400,
21500,
21600,
21700,
21800,
21900,
22000,218.574
22100,
22200,
22300,
22400,
22500,
22600,
22700,
22800,
22900,
23000,219.576
23100,
23200,
23300,
23400,
23500,
23600,
23700,
23800,
23900,
24000,220.56
24100,
24200,
24300,
24400,
24500,
24600,
24700,
24800,
24900,
25000,221.552
25100,
25200,
25300,
25400,
25500,
25600,
25700,
25800,
25900,
26000,222.544
26100,
26200,
26300,
26400,
26500,
26600,
26700,
26800,
26900,
27000,223.536
27100,
27200,
27300,
27400,
27500,
27600,
27700,
27800,
27900,
28000,224.527
28100,
28200,
28300,
28400,
28500,
28600,
28700,
28800,
28900,
29000,225.518
29100,
29200,
29300,
29400,
29500,
29600,
29700,
29800,
29900,
30000,226.509
30100,
30200,
30300,
30400,
30500,
30600,
30700,
30800,
30900,
31000,227.599
31100,
31200,
31300,
31400,
31500,
31600,
31700,
31800,
31900,
32000,228.49
32200,
32400,
32600,
32800,
33000,
33200,
33400,
33600,
33800,
34000,233.743
34200,
34400,
34600,
34800,
35000,
35200,
35400,
35600,
35800,
36000,239.282
36200,
36400,
36600,
36800,
37000,
37200,
37400,
37600,
37800,
38000,244.818
38200,
38400,
38600,
38800,
39000,
39200,
39400,
39600,
39800,
40000,250.35
40200,
40400,
40600,
40800,
41000,
41200,
41400,
41600,
41800,
42000,255.878
42200,
42400,
42600,
42800,
43000,
43200,
43400,
43600,
43800,
44000,261.403
44200,
44400,
44600,
44800,
45000,
45200,
45400,
45600,
45800,
46000,266.925
46200,
46400,
46600,
46800,
47000,
47200,
47400,270.65
47600,270.65
47800,270.65
48000,270.65
48200,270.65
48400,270.65
48600,270.65
48800,270.65
49000,270.65
49200,270.65
49400,270.65
49600,270.65
49800,270.65
50000,270.65
50500,270.65
51000,270.65
51500,270.409
52000,
52500,
53000,
53500,
54000,
54500,
55000,260.771
55500,
56000,
56500,
57000,
57500,
58000,
58500,
59000,
59500,
60000,247.021
60500,
61000,
61500,
62000,
62500,
63000,
63500,
64000,
64500,
65000,233.292
65500,
66000,
66500,
67000,
67500,
68000,
68500,
69000,
69500,
70000,219.585
70500,
71000,
71500,
72000,
72500,
73000,
73500,
74000,
74500,
75000,208.399
75500,
76000,
76500,
77000,
77500,
78000,
78500,
79000,
79500,
80000,198.639
80500,
81000,
81500,
82000,
82500,
83000,
83500,
84000,
84500,
85000,
85500,187.92
86000,186.87
86500,186.87
87000,186.87
87500,186.87
88000,186.87
88500,186.87
89000,186.87
89500,186.87
90000,186.87
90500,186.87
91000,186.87
91500,
92000,
92500,
93000,
93500,
94000,
94500,
95000,188.42
95500,188.84
96000,189.31
96500,189.83
97000,190.4
97500,191.04
98000,191.72
98500,192.47
99000,193.28
99500,194.15
100000,195.08
101000,197.16
102000,199.53
103000,202.23
104000,205.31
105000,208.84
106000,212.89
107000,217.63
108000,223.29
109000,230.33
110000,240
111000,252
112000,264
113000,276
114000,288
115000,300
116000,312
117000,324
118000,336
119000,348
120000,360
121000,
122000,
123000,
124000,
125000,
126000,
127000,
128000,
129000,
130000,469.27
131000,
132000,
133000,
134000,
135000,
136000,
137000,
138000,
139000,
140000,559.63
141000,
142000,
143000,
144000,
145000,
146000,
147000,
148000,
149000,
150000,634.39
151000,
152000,
153000,
154000,
155000,
156000,
157000,
158000,
159000,
160000,696.29
161000,
162000,
163000,
164000,
165000,
166000,
167000,
168000,
169000,
170000,747.57
171000,
172000,
173000,
174000,
175000,
176000,
177000,
178000,
179000,
180000,790.07
181000,
182000,
183000,
184000,
185000,
186000,
187000,
188000,
189000,
190000,825.31
191000,
192000,
193000,
194000,
195000,
196000,
197000,
198000,
199000,
200000,854.56
201000,
202000,
203000,
204000,
205000,
206000,
207000,
208000,
209000,
210000,878.84
211000,
212000,
213000,
214000,
215000,
216000,
217000,
218000,
219000,
220000,899.01
221000,
222000,
223000,
224000,
225000,
226000,
227000,
228000,
229000,
230000,
231000,
232000,
233000,
234000,
235000,
236000,
237000,
238000,
239000,
240000,
241000,
242000,
243000,
244000,
245000,
246000,
247000,
248000,
249000,
250000,
251000,
252000,
253000,
254000,
255000,
256000,
257000,
258000,
259000,
260000,
261000,
262000,
263000,
264000,
265000,
266000,
267000,
268000,
269000,
270000,
271000,
272000,
273000,
274000,
275000,
276000,
277000,
278000,
279000,
280000,
281000,
282000,
283000,
284000,
285000,
286000,
287000,
288000,
289000,
290000,
291000,
292000,
293000,
294000,
295000,
296000,
297000,
298000,
299000,
300000,
302000,
