Brown University Keck/NASA Relab Spectrum DH-CMP-011/C1DH11
Wavelength(micron)	Reflectance	Standard Deviation
0.3	0.39357	0.00525
0.305	0.44770	0.00461
0.31	0.50530	0.00498
0.315	0.55852	0.00413
0.32	0.60384	0.00475
0.325	0.63844	0.00414
0.33	0.66512	0.00443
0.335	0.68549	0.00427
0.34	0.70040	0.00439
0.345	0.71062	0.00457
0.35	0.71776	0.00737
0.355	0.72857	0.00362
0.36	0.73596	0.01262
0.365	0.74702	0.00391
0.37	0.75453	0.00395
0.375	0.75773	0.00391
0.38	0.75937	0.00373
0.385	0.76105	0.00406
0.39	0.76519	0.00410
0.395	0.77331	0.00413
0.4	0.77820	0.00687
0.405	0.78233	0.00492
0.41	0.78473	0.00745
0.415	0.78509	0.00456
0.42	0.78657	0.00650
0.425	0.78962	0.00540
0.43	0.79285	0.00593
0.435	0.79714	0.00479
0.44	0.79881	0.00483
0.445	0.79882	0.00473
0.45	0.80085	0.00628
0.455	0.80323	0.00444
0.46	0.80630	0.00605
0.465	0.80752	0.00430
0.47	0.80841	0.00436
0.475	0.80949	0.00435
0.48	0.80998	0.00502
0.485	0.81560	0.00449
0.49	0.81706	0.00565
0.495	0.81723	0.00461
0.5	0.81777	0.00461
0.505	0.82132	0.00475
0.51	0.81951	0.00499
0.515	0.82194	0.00493
0.52	0.82157	0.00470
0.525	0.82378	0.00493
0.53	0.82257	0.00501
0.535	0.82447	0.00464
0.54	0.82305	0.00487
0.545	0.82507	0.00454
0.55	0.82315	0.00484
0.555	0.82635	0.00433
0.56	0.82392	0.00507
0.565	0.82889	0.00464
0.57	0.82885	0.00457
0.575	0.82823	0.00490
0.58	0.83221	0.00478
0.585	0.83046	0.00468
0.59	0.83197	0.00463
0.595	0.83051	0.00463
0.6	0.83102	0.00465
0.605	0.83146	0.00447
0.61	0.83238	0.00456
0.615	0.83353	0.00473
0.62	0.83182	0.00475
0.625	0.83475	0.00487
0.63	0.83550	0.00440
0.635	0.83403	0.00485
0.64	0.83425	0.00457
0.645	0.83534	0.00460
0.65	0.83749	0.00472
0.655	0.83640	0.00474
0.66	0.83973	0.00490
0.665	0.83901	0.00487
0.67	0.84201	0.00465
0.675	0.84341	0.00462
0.68	0.84463	0.00449
0.685	0.84537	0.00476
0.69	0.84519	0.00463
0.695	0.84721	0.00417
0.7	0.84593	0.00450
0.705	0.84438	0.00463
0.71	0.84668	0.00468
0.715	0.84351	0.00453
0.72	0.84464	0.00474
0.725	0.84536	0.00482
0.73	0.84509	0.00444
0.735	0.84237	0.00446
0.74	0.84312	0.00485
0.745	0.84372	0.00487
0.75	0.84498	0.00520
0.755	0.84465	0.00500
0.76	0.84462	0.00579
0.765	0.84455	0.00479
0.77	0.84486	0.00493
0.775	0.84455	0.00421
0.78	0.84461	0.00448
0.785	0.84491	0.00428
0.79	0.84522	0.00494
0.795	0.84537	0.00481
0.8	0.84713	0.00746
0.805	0.84671	0.00692
0.81	0.84690	0.00676
0.815	0.84771	0.00607
0.82	0.84592	0.00711
0.825	0.84491	0.00652
0.83	0.84517	0.00668
0.835	0.84347	0.00583
0.84	0.84301	0.00600
0.845	0.84203	0.00560
0.85	0.84181	0.00566
0.855	0.83952	0.00858
0.86	0.83917	0.00984
0.865	0.83861	0.00709
0.87	0.83767	0.00942
0.875	0.83690	0.00689
0.88	0.83614	0.00753
0.885	0.83591	0.00610
0.89	0.83544	0.00743
0.895	0.83635	0.00553
0.9	0.83623	0.00558
0.905	0.83735	0.00847
0.91	0.83490	0.00966
0.915	0.83599	0.00828
0.92	0.83719	0.00837
0.925	0.83928	0.00801
0.93	0.83677	0.00799
0.935	0.83861	0.00665
0.94	0.83735	0.00756
0.945	0.83890	0.00770
0.95	0.83877	0.00774
0.955	0.84048	0.00641
0.96	0.83759	0.00714
0.965	0.84013	0.00645
0.97	0.84171	0.00659
0.975	0.84008	0.00553
0.98	0.84068	0.00578
0.985	0.84106	0.00581
0.99	0.83982	0.00620
0.995	0.84028	0.00541
1	0.84057	0.00502
1.005	0.83979	0.00691
1.01	0.83977	0.00797
1.015	0.84032	0.00702
1.02	0.84141	0.00664
1.025	0.84082	0.00650
1.03	0.84096	0.00708
1.035	0.84143	0.00613
1.04	0.83885	0.00712
1.045	0.84093	0.00704
1.05	0.83926	0.00560
1.055	0.83919	0.00540
1.06	0.83829	0.00585
1.065	0.83873	0.00590
1.07	0.83917	0.00605
1.075	0.83873	0.00547
1.08	0.83757	0.00576
1.085	0.83673	0.00564
1.09	0.83868	0.00561
1.095	0.83692	0.00569
1.1	0.83741	0.00579
1.105	0.83706	0.00524
1.11	0.83786	0.00616
1.115	0.83766	0.00535
1.12	0.83635	0.00538
1.125	0.83732	0.00550
1.13	0.83631	0.00565
1.135	0.83488	0.00493
1.14	0.83377	0.00529
1.145	0.83575	0.00520
1.15	0.83454	0.00586
1.155	0.83361	0.00515
1.16	0.83369	0.00500
1.165	0.83442	0.00441
1.17	0.83414	0.00502
1.175	0.83340	0.00513
1.18	0.83334	0.00522
1.185	0.83351	0.00499
1.19	0.83327	0.00522
1.195	0.83366	0.00495
1.2	0.83186	0.00475
1.205	0.83186	0.00572
1.21	0.83197	0.00629
1.215	0.83209	0.00504
1.22	0.83238	0.00520
1.225	0.83263	0.00569
1.23	0.83163	0.00540
1.235	0.83187	0.00522
1.24	0.83125	0.00526
1.245	0.83226	0.00559
1.25	0.83192	0.00569
1.255	0.83153	0.00550
1.26	0.83139	0.00506
1.265	0.83202	0.00556
1.27	0.83107	0.00442
1.275	0.83168	0.00549
1.28	0.83055	0.00540
1.285	0.83024	0.00536
1.29	0.83029	0.00558
1.295	0.83022	0.00511
1.3	0.83040	0.00492
1.305	0.83110	0.00480
1.31	0.83176	0.00504
1.315	0.83204	0.00509
1.32	0.83079	0.00514
1.325	0.83007	0.00396
1.33	0.83137	0.00438
1.335	0.83170	0.00482
1.34	0.83211	0.00505
1.345	0.83175	0.00450
1.35	0.83247	0.00496
1.355	0.83199	0.00461
1.36	0.83141	0.00495
1.365	0.83173	0.00442
1.37	0.83295	0.00475
1.375	0.83150	0.00491
1.38	0.83121	0.00574
1.385	0.83278	0.00413
1.39	0.83328	0.00567
1.395	0.83136	0.00457
1.4	0.83058	0.00477
1.405	0.83066	0.00484
1.41	0.83007	0.00492
1.415	0.82885	0.00479
1.42	0.82962	0.00466
1.425	0.82756	0.00479
1.43	0.82873	0.00468
1.435	0.82847	0.00462
1.44	0.82907	0.00427
1.445	0.82811	0.00512
1.45	0.82909	0.00527
1.455	0.82864	0.00450
1.46	0.82922	0.00471
1.465	0.82964	0.00475
1.47	0.82997	0.00392
1.475	0.83118	0.00457
1.48	0.83106	0.00438
1.485	0.83139	0.00427
1.49	0.83238	0.00416
1.495	0.83291	0.00472
1.5	0.83294	0.00485
1.505	0.83344	0.00427
1.51	0.83421	0.00443
1.515	0.83448	0.00459
1.52	0.83543	0.00440
1.525	0.83601	0.00495
1.53	0.83589	0.00474
1.535	0.83529	0.00471
1.54	0.83652	0.00453
1.545	0.83594	0.00448
1.55	0.83656	0.00449
1.555	0.83799	0.00448
1.56	0.83738	0.00463
1.565	0.83718	0.00437
1.57	0.83699	0.00425
1.575	0.83779	0.00422
1.58	0.83769	0.00461
1.585	0.83759	0.00386
1.59	0.83897	0.00440
1.595	0.83886	0.00426
1.6	0.83843	0.00424
1.605	0.83871	0.00434
1.61	0.83860	0.00477
1.615	0.83914	0.00446
1.62	0.83998	0.00431
1.625	0.83918	0.00409
1.63	0.83841	0.00474
