Brown University Keck/NASA Relab Spectrum PP-EAC-009/C1PP09
Wavelength(micron)	Reflectance
0.3	0.04716
0.305	0.04347
0.31	0.04553
0.315	0.04635
0.32	0.04814
0.325	0.05025
0.33	0.05235
0.335	0.05600
0.34	0.05907
0.345	0.06205
0.35	0.06631
0.355	0.07079
0.36	0.07579
0.365	0.08107
0.37	0.08575
0.375	0.08964
0.38	0.09400
0.385	0.09805
0.39	0.10280
0.395	0.10741
0.4	0.11222
0.405	0.11634
0.41	0.12090
0.415	0.12485
0.42	0.12838
0.425	0.13167
0.43	0.13385
0.435	0.13556
0.44	0.13591
0.445	0.13614
0.45	0.13709
0.455	0.14044
0.46	0.14410
0.465	0.14765
0.47	0.15112
0.475	0.15515
0.48	0.15940
0.485	0.16311
0.49	0.16706
0.495	0.17143
0.5	0.17653
0.505	0.18123
0.51	0.18580
0.515	0.19178
0.52	0.19717
0.525	0.20139
0.53	0.20539
0.535	0.20857
0.54	0.21112
0.545	0.21322
0.55	0.21510
0.555	0.21710
0.56	0.21868
0.565	0.22010
0.57	0.22039
0.575	0.22086
0.58	0.22018
0.585	0.21940
0.59	0.21838
0.595	0.21689
0.6	0.21561
0.605	0.21388
0.61	0.21237
0.615	0.21099
0.62	0.20971
0.625	0.20847
0.63	0.20773
0.635	0.20691
0.64	0.20681
0.645	0.20678
0.65	0.20646
0.655	0.20675
0.66	0.20661
0.665	0.20759
0.67	0.20875
0.675	0.21007
0.68	0.21178
0.685	0.21249
0.69	0.21221
0.695	0.21313
0.7	0.21492
0.705	0.21685
0.71	0.21839
0.715	0.22065
0.72	0.22291
0.725	0.22426
0.73	0.22582
0.735	0.22681
0.74	0.22813
0.745	0.22945
0.75	0.23070
0.755	0.23199
0.76	0.23356
0.765	0.23508
0.77	0.23578
0.775	0.23640
0.78	0.23780
0.785	0.23941
0.79	0.24061
0.795	0.24283
0.8	0.24418
0.805	0.24646
0.81	0.24720
0.815	0.24977
0.82	0.25182
0.825	0.25380
0.83	0.25534
0.835	0.25664
0.84	0.25790
0.845	0.25882
0.85	0.25916
0.855	0.25887
0.86	0.25794
0.865	0.25668
0.87	0.25506
0.875	0.25316
0.88	0.25010
0.885	0.24625
0.89	0.24243
0.895	0.23854
0.9	0.23405
0.905	0.22945
0.91	0.22219
0.915	0.21723
0.92	0.21246
0.925	0.20652
0.93	0.20170
0.935	0.19663
0.94	0.19168
0.945	0.18637
0.95	0.18105
0.955	0.17706
0.96	0.17245
0.965	0.16833
0.97	0.16475
0.975	0.16146
0.98	0.15843
0.985	0.15544
0.99	0.15312
0.995	0.15089
1	0.14913
1.005	0.14791
1.01	0.14658
1.015	0.14587
1.02	0.14584
1.025	0.14562
1.03	0.14673
1.035	0.14751
1.04	0.14843
1.045	0.14982
1.05	0.15201
1.055	0.15406
1.06	0.15638
1.065	0.15894
1.07	0.16244
1.075	0.16600
1.08	0.17004
1.085	0.17442
1.09	0.17928
1.095	0.18420
1.1	0.18943
1.105	0.19481
1.11	0.20001
1.115	0.20618
1.12	0.21180
1.125	0.21711
1.13	0.22291
1.135	0.22871
1.14	0.23427
1.145	0.23968
1.15	0.24508
1.155	0.25032
1.16	0.25514
1.165	0.26023
1.17	0.26491
1.175	0.26901
1.18	0.27367
1.185	0.27746
1.19	0.28167
1.195	0.28603
1.2	0.29026
1.205	0.29477
1.21	0.29789
1.215	0.30138
1.22	0.30454
1.225	0.30793
1.23	0.31081
1.235	0.31417
1.24	0.31759
1.245	0.32108
1.25	0.32432
1.255	0.32687
1.26	0.33012
1.265	0.33280
1.27	0.33626
1.275	0.33907
1.28	0.34232
1.285	0.34519
1.29	0.34823
1.295	0.35213
1.3	0.35449
1.305	0.35712
1.31	0.36097
1.315	0.36386
1.32	0.36684
1.325	0.36981
1.33	0.37320
1.335	0.37637
1.34	0.37897
1.345	0.38235
1.35	0.38628
1.355	0.39100
1.36	0.39427
1.365	0.39601
1.37	0.39821
1.375	0.40097
1.38	0.40630
1.385	0.40562
1.39	0.40875
1.395	0.41127
1.4	0.41390
1.405	0.41639
1.41	0.41909
1.415	0.42118
1.42	0.42491
1.425	0.42714
1.43	0.42955
1.435	0.43202
1.44	0.43480
1.445	0.43761
1.45	0.44129
1.455	0.44360
1.46	0.44627
1.465	0.44830
1.47	0.45096
1.475	0.45393
1.48	0.45566
1.485	0.45914
1.49	0.46100
1.495	0.46341
1.5	0.46552
1.505	0.46704
1.51	0.46939
1.515	0.47190
1.52	0.47396
1.525	0.47559
1.53	0.47758
1.535	0.47985
1.54	0.48180
1.545	0.48444
1.55	0.48589
1.555	0.48743
1.56	0.48978
1.565	0.49151
1.57	0.49268
1.575	0.49496
1.58	0.49623
1.585	0.49772
1.59	0.49922
1.595	0.50118
1.6	0.50213
1.605	0.50371
1.61	0.50493
1.615	0.50600
1.62	0.50728
1.625	0.50853
1.63	0.50932
1.635	0.51020
1.64	0.51170
1.645	0.51194
1.65	0.51300
1.655	0.51348
1.66	0.51505
1.665	0.51607
1.67	0.51594
1.675	0.51605
1.68	0.51717
1.685	0.51863
1.69	0.51796
1.695	0.51785
1.7	0.51860
1.705	0.51865
1.71	0.51853
1.715	0.51845
1.72	0.51889
1.725	0.51827
1.73	0.51762
1.735	0.51730
1.74	0.51605
1.745	0.51571
1.75	0.51540
1.755	0.51393
1.76	0.51297
1.765	0.51218
1.77	0.51192
1.775	0.51085
1.78	0.51003
1.785	0.50841
1.79	0.50722
1.795	0.50583
1.8	0.50525
1.805	0.50349
1.81	0.50252
1.815	0.50037
1.82	0.49875
