Brown University Keck/NASA Relab Spectrum SC-EAC-002/C1SC02
Wavelength(micron)	Reflectance
0.3	0.09054
0.305	0.11472
0.31	0.11719
0.315	0.12977
0.32	0.14769
0.325	0.16821
0.33	0.19615
0.335	0.22765
0.34	0.26169
0.345	0.29650
0.35	0.33259
0.355	0.36489
0.36	0.39772
0.365	0.42135
0.37	0.44356
0.375	0.45878
0.38	0.46848
0.385	0.47754
0.39	0.48796
0.395	0.49698
0.4	0.51285
0.405	0.51876
0.41	0.53956
0.415	0.54789
0.42	0.55402
0.425	0.55648
0.43	0.55948
0.435	0.56123
0.44	0.56708
0.445	0.56860
0.45	0.56456
0.455	0.56700
0.46	0.57689
0.465	0.58837
0.47	0.59346
0.475	0.60090
0.48	0.61669
0.485	0.61865
0.49	0.61828
0.495	0.62126
0.5	0.63896
0.505	0.65880
0.51	0.66940
0.515	0.67572
0.52	0.68157
0.525	0.68612
0.53	0.69276
0.535	0.70027
0.54	0.71045
0.545	0.71760
0.55	0.72477
0.555	0.72974
0.56	0.73246
0.565	0.73319
0.57	0.73136
0.575	0.72787
0.58	0.72324
0.585	0.71902
0.59	0.71582
0.595	0.71103
0.6	0.70674
0.605	0.70175
0.61	0.69623
0.615	0.68777
0.62	0.67989
0.625	0.67431
0.63	0.66997
0.635	0.66550
0.64	0.66471
0.645	0.66640
0.65	0.66705
0.655	0.66980
0.66	0.67176
0.665	0.67292
0.67	0.67175
0.675	0.67061
0.68	0.66644
0.685	0.66254
0.69	0.65954
0.695	0.65367
0.7	0.64794
0.705	0.64072
0.71	0.63107
0.715	0.62415
0.72	0.61519
0.725	0.60805
0.73	0.59831
0.735	0.58943
0.74	0.58055
0.745	0.56922
0.75	0.55854
0.755	0.55010
0.76	0.53903
0.765	0.52855
0.77	0.51873
0.775	0.50918
0.78	0.50058
0.785	0.49180
0.79	0.48168
0.795	0.47566
0.8	0.46851
0.805	0.46103
0.81	0.45456
0.815	0.44786
0.82	0.44151
0.825	0.43604
0.83	0.43013
0.835	0.42610
0.84	0.42249
0.845	0.41783
0.85	0.41381
0.855	0.41022
0.86	0.40628
0.865	0.40276
0.87	0.39974
0.875	0.39739
0.88	0.39447
0.885	0.39090
0.89	0.38748
0.895	0.38353
0.9	0.38016
0.905	0.37557
0.91	0.37076
0.915	0.36662
0.92	0.36078
0.925	0.35597
0.93	0.35037
0.935	0.34398
0.94	0.33716
0.945	0.33038
0.95	0.32243
0.955	0.31606
0.96	0.30925
0.965	0.30211
0.97	0.29553
0.975	0.28896
0.98	0.28304
0.985	0.27685
0.99	0.27141
