Elem,Abun,Err,Factor
He, 6.19, 0.05, 1e-13
Li, 2.30, 0.5, 1e-6
Be, 46, 5, 1e-9
C, 1700, 0, 1e-6
N, 1.27, 1, 1e-6
O, 32.436, 0.010, 1e-2
F, 5.12, 0.5, 1e-6
Ne, 1.085, 0.0005, 1e-11
Na, 0.187, 0.015, 1e-2
Mg, 15.8, 0.1, 1e-2
Al, 1.507, 0.010, 1e-2
Si, 17.1, 0.2, 1e-2
P, 690, 10, 1e-6
S, 0.46, 0.15, 1e-2
Cl, 10, 5, 1e-6
Ar, 3.85, 0.05, 1e-11
K, 171, 5, 1e-6
Ca, 1.62, 0.02, 1e-2
Sc, 10.1, 2, 1e-6
Ti, 764, 20, 1e-6
V, 93, 5, 1e-6
Cr, 4240, 200, 1e-6
Mn, 1390, 100, 1e-6
Fe, 28.8, 0.4, 1e-2
Co, 804, 50, 1e-6
Ni, 1.69, 0.03, 1e-2
Cu, 64.7, 5, 1e-6
Zn, 24, 2, 1e-6
Ga, 3.13, 0.5, 1e-6
Ge, 7.30, 1, 1e-6
As, 1.06, 0.1, 1e-6
Se, 2.52, 0.5, 1e-6
Br, 400, 150, 1e-9
Kr, 2.82, 0.05, 1e-12
Rb, 0.6, 0.05, 1e-6
Sr, 13.7, 0.4, 1e-6
Zr, 6.79, 0.1, 1e-6
Nb, 471, 10, 1e-9
Mo, 1664, 40, 1e-9
Ru, 1173, 20, 1e-9
Rh, 230, 10, 1e-9
Pd, 883, 20, 1e-9
Ag, 45.8, 5, 1e-9
Cd, 182, 10, 1e-9
In, 9.42, 1, 1e-9
Sn, 394, 30, 1e-9
Sb, 40, 5, 1e-9
Te, 313, 30, 1e-9
I, 40.5, 15, 1e-9
Xe, 3.38, 0.1, 1e-13
Cs, 41.2, 10, 1e-9
Ba, 4.08, 0.5, 1e-6
La, 415, 10, 1e-9
Ce, 1088, 20, 1e-9
Pr, 165, 5, 1e-9
Nd, 814, 10, 1e-9
Sm, 259, 3, 1e-9
Eu, 97.9, 3, 1e-9
Gd, 348, 8, 1e-9
Tb, 66.6, 5, 1e-9
Dy, 424, 10, 1e-9
Ho, 95.6, 5, 1e-9
Er, 278, 15, 1e-9
Tm, 42.1, 2, 1e-9
Yb, 278, 10, 1e-9
Lu, 42.5, 2, 1e-9
Hf, 199, 4, 1e-9
Ta, 27.9, 2, 1e-9
W, 172, 5, 1e-9
Re, 62.5, 3, 1e-9
Os, 820, 30, 1e-9
It, 766, 30, 1e-9
Pt, 1562, 40, 1e-9
Au, 102, 20, 1e-9
Pb, 0.696, 0.1, 1e-6
Bi, 16, 5, 1e-9
Th, 51, 3, 1e-9
U, 14.4, 0.3, 1e-9
