age,fraction,age_paper,Ref_num,Ref
0.334728033,85.2976337,0.3,29,
1.0041841,83.20382546,1,30,
1.506276151,80.05783904,1.5,31,
1.506276151,52.9569987,1.5,28,
2.008368201,79.01269294,2,32,
2.008368201,53.80260891,2,33,
2.008368201,54.85302908,2,33,
2.510460251,39.94233677,"2.5,2.6?","34,27,21",
3.012552301,26.50223269,3,35,
3.221757322,51.92459829,3.2,28,
4.016736402,38.90773883,4.2?,36,
4.016736402,13.06740269,4,35,
5.020920502,14.33845505,5,22,
5.020920502,12.86786681,5,37,
5.020920502,5.725009669,5,38,
5.020920502,4.884673535,,,
6.025104603,29.26496959,6,40,
8.033472803,10.5885869,8,31,
8.535564854,5.972012236,8?,"35,38",
11.79916318,1.594529025,11.8,36,
12.0083682,0.126138321,12,41,
16.52719665,0.803857108,16,42,
